Customer_ID,Category,Customer_CLV,Category_Popularity
CUS000001,Poultry,12108118.738922618,10299
CUS000001,Unknown,12108118.738922618,2339
CUS000001,Other,12108118.738922618,2175
CUS000001,Seeds,12108118.738922618,880
CUS000001,Fertilizer,12108118.738922618,218
CUS000001,Feed,12108118.738922618,217
CUS000001,Agrochemicals,12108118.738922618,161
CUS000001,Vegetables,12108118.738922618,28
CUS000001,Fruits,12108118.738922618,15
CUS000007,Other,907346.8975494794,2175
CUS000007,Seeds,907346.8975494794,880
CUS000007,Fertilizer,907346.8975494794,218
CUS000007,Feed,907346.8975494794,217
CUS000007,Agrochemicals,907346.8975494794,161
CUS000007,Equipment,907346.8975494794,86
CUS000007,Vegetables,907346.8975494794,28
CUS000007,Fruits,907346.8975494794,15
CUS000009,Poultry,2515107.2574004624,10299
CUS000009,Unknown,2515107.2574004624,2339
CUS000009,Seeds,2515107.2574004624,880
CUS000009,Fertilizer,2515107.2574004624,218
CUS000009,Feed,2515107.2574004624,217
CUS000009,Agrochemicals,2515107.2574004624,161
CUS000009,Equipment,2515107.2574004624,86
CUS000009,Vegetables,2515107.2574004624,28
CUS000009,Fruits,2515107.2574004624,15
CUS000010,Fertilizer,4875143.36775121,218
CUS000010,Feed,4875143.36775121,217
CUS000010,Equipment,4875143.36775121,86
CUS000010,Vegetables,4875143.36775121,28
CUS000010,Fruits,4875143.36775121,15
CUS000018,Other,1716223.4103340174,2175
CUS000018,Seeds,1716223.4103340174,880
CUS000018,Fertilizer,1716223.4103340174,218
CUS000018,Feed,1716223.4103340174,217
CUS000018,Agrochemicals,1716223.4103340174,161
CUS000018,Equipment,1716223.4103340174,86
CUS000018,Vegetables,1716223.4103340174,28
CUS000018,Fruits,1716223.4103340174,15
CUS000025,Other,995519.8522196984,2175
CUS000025,Seeds,995519.8522196984,880
CUS000025,Fertilizer,995519.8522196984,218
CUS000025,Feed,995519.8522196984,217
CUS000025,Agrochemicals,995519.8522196984,161
CUS000025,Equipment,995519.8522196984,86
CUS000025,Vegetables,995519.8522196984,28
CUS000025,Fruits,995519.8522196984,15
CUS000027,Seeds,5418252.874438045,880
CUS000027,Fertilizer,5418252.874438045,218
CUS000027,Agrochemicals,5418252.874438045,161
CUS000027,Equipment,5418252.874438045,86
CUS000027,Vegetables,5418252.874438045,28
CUS000027,Fruits,5418252.874438045,15
CUS000046,Seeds,1231960.062964404,880
CUS000046,Fertilizer,1231960.062964404,218
CUS000046,Feed,1231960.062964404,217
CUS000046,Agrochemicals,1231960.062964404,161
CUS000046,Equipment,1231960.062964404,86
CUS000046,Vegetables,1231960.062964404,28
CUS000046,Fruits,1231960.062964404,15
CUS000047,Seeds,9944261.47607213,880
CUS000047,Fertilizer,9944261.47607213,218
CUS000047,Agrochemicals,9944261.47607213,161
CUS000047,Equipment,9944261.47607213,86
CUS000047,Vegetables,9944261.47607213,28
CUS000047,Fruits,9944261.47607213,15
CUS000053,Fertilizer,3520235.3844422186,218
CUS000053,Agrochemicals,3520235.3844422186,161
CUS000053,Equipment,3520235.3844422186,86
CUS000053,Vegetables,3520235.3844422186,28
CUS000053,Fruits,3520235.3844422186,15
CUS000056,Fertilizer,2477423.1528929537,218
CUS000056,Feed,2477423.1528929537,217
CUS000056,Vegetables,2477423.1528929537,28
CUS000056,Fruits,2477423.1528929537,15
CUS000057,Unknown,493655.92471605295,2339
CUS000057,Seeds,493655.92471605295,880
CUS000057,Fertilizer,493655.92471605295,218
CUS000057,Feed,493655.92471605295,217
CUS000057,Agrochemicals,493655.92471605295,161
CUS000057,Equipment,493655.92471605295,86
CUS000057,Vegetables,493655.92471605295,28
CUS000057,Fruits,493655.92471605295,15
CUS000060,Other,949766.5379592804,2175
CUS000060,Seeds,949766.5379592804,880
CUS000060,Fertilizer,949766.5379592804,218
CUS000060,Feed,949766.5379592804,217
CUS000060,Agrochemicals,949766.5379592804,161
CUS000060,Equipment,949766.5379592804,86
CUS000060,Vegetables,949766.5379592804,28
CUS000060,Fruits,949766.5379592804,15
CUS000065,Poultry,506685.0209071993,10299
CUS000065,Other,506685.0209071993,2175
CUS000065,Seeds,506685.0209071993,880
CUS000065,Fertilizer,506685.0209071993,218
CUS000065,Feed,506685.0209071993,217
CUS000065,Agrochemicals,506685.0209071993,161
CUS000065,Equipment,506685.0209071993,86
CUS000065,Vegetables,506685.0209071993,28
CUS000065,Fruits,506685.0209071993,15
CUS000066,Other,4625389.631481436,2175
CUS000066,Seeds,4625389.631481436,880
CUS000066,Fertilizer,4625389.631481436,218
CUS000066,Feed,4625389.631481436,217
CUS000066,Agrochemicals,4625389.631481436,161
CUS000066,Equipment,4625389.631481436,86
CUS000066,Vegetables,4625389.631481436,28
CUS000066,Fruits,4625389.631481436,15
CUS000072,Fertilizer,2144808.916919267,218
CUS000072,Agrochemicals,2144808.916919267,161
CUS000072,Equipment,2144808.916919267,86
CUS000072,Fruits,2144808.916919267,15
CUS000079,Other,1168781.3637714614,2175
CUS000079,Seeds,1168781.3637714614,880
CUS000079,Fertilizer,1168781.3637714614,218
CUS000079,Feed,1168781.3637714614,217
CUS000079,Agrochemicals,1168781.3637714614,161
CUS000079,Equipment,1168781.3637714614,86
CUS000079,Vegetables,1168781.3637714614,28
CUS000079,Fruits,1168781.3637714614,15
CUS000082,Unknown,1620043.761204691,2339
CUS000082,Other,1620043.761204691,2175
CUS000082,Seeds,1620043.761204691,880
CUS000082,Fertilizer,1620043.761204691,218
CUS000082,Feed,1620043.761204691,217
CUS000082,Agrochemicals,1620043.761204691,161
CUS000082,Equipment,1620043.761204691,86
CUS000082,Vegetables,1620043.761204691,28
CUS000082,Fruits,1620043.761204691,15
CUS000085,Feed,7177895.576514186,217
CUS000085,Agrochemicals,7177895.576514186,161
CUS000085,Vegetables,7177895.576514186,28
CUS000092,Unknown,1076215.0467408942,2339
CUS000092,Seeds,1076215.0467408942,880
CUS000092,Fertilizer,1076215.0467408942,218
CUS000092,Feed,1076215.0467408942,217
CUS000092,Agrochemicals,1076215.0467408942,161
CUS000092,Equipment,1076215.0467408942,86
CUS000092,Vegetables,1076215.0467408942,28
CUS000092,Fruits,1076215.0467408942,15
CUS000097,Seeds,2939593.5806753035,880
CUS000097,Fertilizer,2939593.5806753035,218
CUS000097,Agrochemicals,2939593.5806753035,161
CUS000097,Equipment,2939593.5806753035,86
CUS000097,Vegetables,2939593.5806753035,28
CUS000097,Fruits,2939593.5806753035,15
CUS000098,Fertilizer,549557.6990880917,218
CUS000098,Feed,549557.6990880917,217
CUS000098,Agrochemicals,549557.6990880917,161
CUS000098,Equipment,549557.6990880917,86
CUS000098,Vegetables,549557.6990880917,28
CUS000098,Fruits,549557.6990880917,15
CUS000105,Feed,2052916.355872948,217
CUS000105,Agrochemicals,2052916.355872948,161
CUS000105,Equipment,2052916.355872948,86
CUS000105,Vegetables,2052916.355872948,28
CUS000105,Fruits,2052916.355872948,15
CUS000114,Seeds,1445859.5192016528,880
CUS000114,Fertilizer,1445859.5192016528,218
CUS000114,Feed,1445859.5192016528,217
CUS000114,Agrochemicals,1445859.5192016528,161
CUS000114,Equipment,1445859.5192016528,86
CUS000114,Vegetables,1445859.5192016528,28
CUS000114,Fruits,1445859.5192016528,15
CUS000115,Unknown,1375986.8106006414,2339
CUS000115,Seeds,1375986.8106006414,880
CUS000115,Feed,1375986.8106006414,217
CUS000115,Agrochemicals,1375986.8106006414,161
CUS000115,Equipment,1375986.8106006414,86
CUS000115,Vegetables,1375986.8106006414,28
CUS000115,Fruits,1375986.8106006414,15
CUS000124,Unknown,1228401.345288369,2339
CUS000124,Other,1228401.345288369,2175
CUS000124,Seeds,1228401.345288369,880
CUS000124,Fertilizer,1228401.345288369,218
CUS000124,Feed,1228401.345288369,217
CUS000124,Agrochemicals,1228401.345288369,161
CUS000124,Equipment,1228401.345288369,86
CUS000124,Vegetables,1228401.345288369,28
CUS000124,Fruits,1228401.345288369,15
CUS000128,Other,1651460.2960971317,2175
CUS000128,Seeds,1651460.2960971317,880
CUS000128,Fertilizer,1651460.2960971317,218
CUS000128,Feed,1651460.2960971317,217
CUS000128,Agrochemicals,1651460.2960971317,161
CUS000128,Equipment,1651460.2960971317,86
CUS000128,Vegetables,1651460.2960971317,28
CUS000128,Fruits,1651460.2960971317,15
CUS000129,Seeds,2587984.2189690094,880
CUS000129,Fertilizer,2587984.2189690094,218
CUS000129,Feed,2587984.2189690094,217
CUS000129,Agrochemicals,2587984.2189690094,161
CUS000129,Equipment,2587984.2189690094,86
CUS000129,Vegetables,2587984.2189690094,28
CUS000129,Fruits,2587984.2189690094,15
CUS000133,Poultry,1145742.9674496958,10299
CUS000133,Feed,1145742.9674496958,217
CUS000133,Agrochemicals,1145742.9674496958,161
CUS000133,Equipment,1145742.9674496958,86
CUS000133,Fruits,1145742.9674496958,15
CUS000138,Other,632772.4104107975,2175
CUS000138,Seeds,632772.4104107975,880
CUS000138,Fertilizer,632772.4104107975,218
CUS000138,Feed,632772.4104107975,217
CUS000138,Agrochemicals,632772.4104107975,161
CUS000138,Equipment,632772.4104107975,86
CUS000138,Vegetables,632772.4104107975,28
CUS000138,Fruits,632772.4104107975,15
CUS000140,Seeds,2525937.392001267,880
CUS000140,Fertilizer,2525937.392001267,218
CUS000140,Agrochemicals,2525937.392001267,161
CUS000140,Vegetables,2525937.392001267,28
CUS000140,Fruits,2525937.392001267,15
CUS000142,Unknown,885427.751998563,2339
CUS000142,Other,885427.751998563,2175
CUS000142,Seeds,885427.751998563,880
CUS000142,Fertilizer,885427.751998563,218
CUS000142,Feed,885427.751998563,217
CUS000142,Agrochemicals,885427.751998563,161
CUS000142,Equipment,885427.751998563,86
CUS000142,Vegetables,885427.751998563,28
CUS000142,Fruits,885427.751998563,15
CUS000147,Seeds,17305990.57424122,880
CUS000147,Fertilizer,17305990.57424122,218
CUS000147,Agrochemicals,17305990.57424122,161
CUS000147,Equipment,17305990.57424122,86
CUS000147,Vegetables,17305990.57424122,28
CUS000147,Fruits,17305990.57424122,15
CUS000151,Fertilizer,2917879.989234539,218
CUS000151,Agrochemicals,2917879.989234539,161
CUS000151,Equipment,2917879.989234539,86
CUS000151,Vegetables,2917879.989234539,28
CUS000151,Fruits,2917879.989234539,15
CUS000155,Other,1326921.460933677,2175
CUS000155,Seeds,1326921.460933677,880
CUS000155,Fertilizer,1326921.460933677,218
CUS000155,Feed,1326921.460933677,217
CUS000155,Agrochemicals,1326921.460933677,161
CUS000155,Equipment,1326921.460933677,86
CUS000155,Vegetables,1326921.460933677,28
CUS000155,Fruits,1326921.460933677,15
CUS000159,Poultry,1006425.519005734,10299
CUS000159,Unknown,1006425.519005734,2339
CUS000159,Seeds,1006425.519005734,880
CUS000159,Fertilizer,1006425.519005734,218
CUS000159,Feed,1006425.519005734,217
CUS000159,Agrochemicals,1006425.519005734,161
CUS000159,Equipment,1006425.519005734,86
CUS000159,Vegetables,1006425.519005734,28
CUS000159,Fruits,1006425.519005734,15
CUS000167,Poultry,2129802.094628376,10299
CUS000167,Unknown,2129802.094628376,2339
CUS000167,Seeds,2129802.094628376,880
CUS000167,Fertilizer,2129802.094628376,218
CUS000167,Feed,2129802.094628376,217
CUS000167,Agrochemicals,2129802.094628376,161
CUS000167,Equipment,2129802.094628376,86
CUS000167,Vegetables,2129802.094628376,28
CUS000167,Fruits,2129802.094628376,15
CUS000168,Other,955478.4322281232,2175
CUS000168,Seeds,955478.4322281232,880
CUS000168,Fertilizer,955478.4322281232,218
CUS000168,Feed,955478.4322281232,217
CUS000168,Agrochemicals,955478.4322281232,161
CUS000168,Equipment,955478.4322281232,86
