Customer_ID,RFM_Segment,Monetary,Frequency,Recency,Churn_Probability,Churn_Risk_Level,Predicted_CLV
CUS000319,Champions,1026413.0,26,458,0.9998464471405769,Critical,988141.1125884634
CUS001601,Champions,3925130.98,4,228,0.9998395200891607,Critical,3979542.6521387603
CUS001059,Loyal Customers,4283950.0,16,1427,0.9998369236709205,Critical,4357579.998861414
CUS001343,Loyal Customers,4083250.0,4,587,0.999836153621368,Critical,4556947.685873096
CUS001828,Champions,11266550.0,4,196,0.9998170414117827,Critical,11390662.92339863
CUS001415,Champions,434250.0,9,204,0.9998162508509131,Critical,463644.95391740184
CUS001379,Loyal Customers,318000.0,7,684,0.9998162508509131,Critical,311981.541640019
CUS001157,Champions,26773000.0,5,209,0.999812466903936,Critical,26730847.750100914
CUS002906,About to Sleep,147099.99,5,455,0.9998098645458504,Critical,147237.4243616354
CUS001171,Champions,511898.84,11,545,0.9998089229773364,Critical,490937.58491288766
CUS001346,Champions,508454.95,26,503,0.9998064930137333,Critical,498363.34261371056
CUS002970,About to Sleep,203500.0,9,596,0.999805292528051,Critical,181482.52454301872
CUS001603,Champions,4007551.78,26,355,0.9998013030306078,Critical,4127950.7049704967
CUS003040,Champions,502450.0,14,406,0.9997993888683364,Critical,512190.66294202855
CUS002548,Champions,423400.0,11,425,0.999797565674759,Critical,442506.5426350396
CUS000572,Champions,1576954.98,31,232,0.999791043419418,Critical,1272933.7888596654
CUS001561,Loyal Customers,313000.0,12,630,0.9997882269094523,Critical,409490.71611115703
CUS000512,Loyal Customers,304189.98,10,656,0.999787878397974,Critical,327131.9622942416
CUS001243,Champions,786100.0,9,222,0.9997838696105993,Critical,853649.9232614107
CUS001917,Champions,646550.0,14,263,0.9997804394824273,Critical,605642.3740388327
CUS000831,Champions,9427935.0,25,421,0.9997802840222083,Critical,9461376.467531592
CUS002680,Champions,5084800.0,5,232,0.9997771240867716,Critical,4878148.343671462
CUS001554,Champions,20387351.62,7,561,0.9997726531603455,Critical,17019849.80948905
CUS000138,Loyal Customers,655915.0,13,637,0.9997706981497873,Critical,632772.4104107975
CUS000168,Loyal Customers,931849.97,21,629,0.9997657433514349,Critical,955478.4322281233
CUS002788,Champions,10209600.98,14,230,0.9997643831620973,Critical,10168773.284856286
CUS001062,Loyal Customers,270200.0,10,783,0.9997473910386587,Critical,281683.3077794064
CUS001023,Loyal Customers,13273999.57,4,622,0.9997466613629352,Critical,13271789.663380295
CUS000066,Loyal Customers,4635000.0,4,1674,0.9997441821641936,Critical,4625389.631481436
CUS003077,Champions,1071700.0,26,438,0.9997440277731053,Critical,1019345.9177479813
CUS002347,Champions,531400.0,13,309,0.9997421272829011,Critical,496679.36101578025
CUS001922,Champions,3974559.99,19,330,0.9997395911881725,Critical,2879313.5778230946
CUS000365,Loyal Customers,479240.0,13,1277,0.9997390551047723,Critical,489818.95421002316
CUS001209,Loyal Customers,287750.0,10,1174,0.9997379601403787,Critical,278999.2633586272
CUS000697,Champions,1965269.25,26,228,0.999736670130339,Critical,2004597.5352207392
CUS000427,About to Sleep,101500.0,2,190,0.9997360886987188,Critical,114878.79112592527
CUS001679,Loyal Customers,6375000.0,4,1205,0.9997356319493025,Critical,6243217.55860975
CUS000478,Big Spenders,4640250.0,2,1037,0.9997354884414832,Critical,4572089.503440972
CUS000598,Big Spenders,5110499.99,2,435,0.9997354884414832,Critical,5040409.91999749
CUS001114,Big Spenders,7488450.0,2,1041,0.9997354867600572,Critical,7458297.804258886
CUS000155,Loyal Customers,1309274.75,26,791,0.9997332643420955,Critical,1326921.460933677
CUS002224,Loyal Customers,5183910.0,5,1065,0.9997320018822443,Critical,5209035.389581015
CUS002040,Champions,4407331.97,30,370,0.9997292408188999,Critical,4321343.096290444
CUS001100,Loyal Customers,343550.0,8,846,0.999724815773908,Critical,345154.1526591457
CUS002334,Champions,884332.5,28,264,0.9997245688154431,Critical,919520.3835466903
CUS000372,Champions,547599.86,11,445,0.9997172530632207,Critical,512000.6172956131
CUS001242,Big Spenders,20018000.0,2,292,0.9997148428115391,Critical,20010009.471225757
CUS003039,Champions,5662750.0,17,454,0.9997105252425967,Critical,5711029.469592896
CUS001599,Champions,291855.0,5,561,0.9997098239932783,Critical,324071.1898115162
CUS001657,Loyal Customers,1090250.0,4,860,0.9997091817622664,Critical,987652.2835301593
CUS000545,Loyal Customers,541000.0,11,730,0.999708055894453,Critical,552942.2988677433
CUS000673,Champions,20168420.96,8,413,0.9997055982575183,Critical,20148465.20344087
CUS001175,Champions,238399.0,8,442,0.9996996923749859,Critical,274909.8787839755
CUS000972,Champions,384499.88,9,186,0.9996996923749859,Critical,374383.1930630759
CUS001316,Loyal Customers,283500.0,9,1523,0.9996996923749859,Critical,291316.50266320596
CUS002019,Loyal Customers,275700.0,7,573,0.9996996923749859,Critical,308079.78645509423
CUS001818,Loyal Customers,234500.0,7,1825,0.9996996923749859,Critical,262041.7555745973
CUS002682,Champions,385349.97,9,326,0.9996996923749859,Critical,362944.5926458335
CUS000786,Champions,328099.0,8,523,0.9996996923749859,Critical,333569.7760907858
CUS001852,Champions,747250.0,5,384,0.999698345101803,Critical,830211.8198877056
CUS001317,Loyal Customers,9113590.0,9,880,0.9996980043427799,Critical,9042298.707689863
CUS000290,Loyal Customers,778260.0,18,1089,0.9996971098699192,Critical,817482.747162488
CUS002052,About to Sleep,216051.1,5,395,0.9996958594108531,Critical,210618.06462992364
CUS002381,Champions,376600.0,14,264,0.9996958472222772,Critical,395497.1015925681
CUS001626,Loyal Customers,602250.0,14,622,0.9996958472222772,Critical,567676.5231161996
CUS000805,Loyal Customers,986829.8,23,579,0.9996945926871522,Critical,1051993.129585697
CUS002137,Loyal Customers,382000.0,8,1007,0.9996937919867919,Critical,387259.939227233
CUS002790,Big Spenders,374985.0,1,825,0.9996936721798292,Critical,390163.1601998389
CUS000098,Champions,548499.96,9,468,0.9996916191934063,Critical,549557.6990880917
CUS002394,Loyal Customers,574725.0,11,1180,0.9996914394272259,Critical,579895.7820708998
CUS001566,Loyal Customers,292750.0,11,1159,0.9996914394272259,Critical,365534.0317308153
CUS002612,Champions,2589599.96,10,440,0.9996894849472224,Critical,2572026.7253707363
CUS000800,Loyal Customers,537423.96,13,812,0.9996891264033365,Critical,529582.2408949253
CUS002986,Loyal Customers,8358960.0,4,1008,0.9996882749910904,Critical,8292917.571359741
CUS001980,Loyal Customers,843750.0,16,1000,0.9996875359805615,Critical,875111.8018108057
CUS001057,Loyal Customers,399250.0,11,735,0.9996863226872579,Critical,407744.87995992915
CUS000886,Champions,512210.0,16,362,0.9996823132632818,Critical,512215.99883768085
CUS003061,Loyal Customers,4869950.0,3,812,0.9996820144560696,Critical,4989440.498729639
CUS000591,Champions,5996550.0,3,216,0.9996820144560696,Critical,5843363.788669315
CUS000898,About to Sleep,162500.0,3,407,0.9996815704917489,Critical,153834.37176117225
