Category_1,Category_2,Support,Confidence_1_to_2,Confidence_2_to_1,Lift
Feed,Vegetables,0.002242152466367713,0.04487179487179487,0.2692307692307692,5.3880670611439845
Equipment,Fruits,0.0006406149903907751,0.02531645569620253,0.13333333333333333,5.269198312236286
Agrochemicals,Vegetables,0.0016015374759769379,0.043478260869565216,0.19230769230769232,5.2207357859531776
Fertilizer,Fruits,0.0012812299807815502,0.024539877300613498,0.26666666666666666,5.107566462167688
Equipment,Vegetables,0.0009609224855861628,0.0379746835443038,0.11538461538461539,4.559883154819864
Fertilizer,Vegetables,0.0019218449711723255,0.03680981595092025,0.23076923076923078,4.420009438414347
Agrochemicals,Equipment,0.003843689942344651,0.10434782608695652,0.1518987341772152,4.123720418271876
Seeds,Vegetables,0.005124919923126201,0.030476190476190476,0.6153846153846154,3.6594871794871797
Agrochemicals,Fruits,0.0006406149903907751,0.017391304347826087,0.13333333333333333,3.6197101449275357
Agrochemicals,Fertilizer,0.006726457399103139,0.1826086956521739,0.12883435582822086,3.4975726860496135
Equipment,Fertilizer,0.004484304932735426,0.17721518987341772,0.08588957055214724,3.3942688514405526
Equipment,Feed,0.004163997437540038,0.16455696202531644,0.08333333333333333,3.2932489451476785
Fruits,Seeds,0.002242152466367713,0.4666666666666667,0.013333333333333334,2.775111111111111
Fertilizer,Seeds,0.02370275464445868,0.4539877300613497,0.14095238095238094,2.6997137014314925
Agrochemicals,Feed,0.004804612427930814,0.13043478260869565,0.09615384615384616,2.6103678929765883
Feed,Fertilizer,0.006726457399103139,0.1346153846153846,0.12883435582822086,2.5783388390750352
Feed,Seeds,0.01825752722613709,0.36538461538461536,0.10857142857142857,2.1728205128205125
Agrochemicals,Seeds,0.013452914798206279,0.3652173913043478,0.08,2.171826086956522
Equipment,Seeds,0.008968609865470852,0.35443037974683544,0.05333333333333334,2.1076793248945145
Unknown,Vegetables,0.005445227418321589,0.016361886429258902,0.6538461538461539,1.964684978159473
Equipment,Other,0.016335682254964765,0.6455696202531646,0.04735376044568245,1.8713726596382354
Fruits,Unknown,0.0028827674567584883,0.6,0.008662175168431183,1.8028873917228103
Feed,Other,0.031069827033952595,0.6217948717948718,0.09006499535747446,1.8024545865771495
Other,Vegetables,0.005124919923126201,0.014856081708449397,0.6153846153846154,1.7838725805299622
Fertilizer,Other,0.029788597053171044,0.5705521472392638,0.08635097493036212,1.6539125382367517
Equipment,Unknown,0.013773222293401666,0.5443037974683544,0.04138594802694899,1.6355307562042372
Feed,Unknown,0.026905829596412557,0.5384615384615384,0.08084696823869104,1.6179758643666247
Agrochemicals,Other,0.01985906470211403,0.5391304347826087,0.057567316620241414,1.5628274998990757
Fertilizer,Unknown,0.024983984625240232,0.4785276073619632,0.07507218479307026,1.4378856498402781
Agrochemicals,Unknown,0.01729660474055093,0.46956521739130436,0.0519730510105871,1.4109553500439385
Fruits,Other,0.002242152466367713,0.4666666666666667,0.0064995357474466105,1.3527700402352214
Feed,Fruits,0.00032030749519538755,0.00641025641025641,0.06666666666666667,1.3341880341880339
Other,Seeds,0.07431133888532991,0.21541318477251625,0.4419047619047619,1.2809904054472299
Other,Unknown,0.13164638052530428,0.3816155988857939,0.39557266602502406,1.1466832528599118
Poultry,Vegetables,0.006085842408712364,0.009209888511875909,0.7307692307692307,1.1058950743875613
Equipment,Poultry,0.01825752722613709,0.7215189873417721,0.027629665535627727,1.0918964025598705
Seeds,Unknown,0.0592568866111467,0.3523809523809524,0.17805582290664101,1.0588386268848249
Feed,Poultry,0.03459320948110186,0.6923076923076923,0.0523509452253999,1.0476900704724261
Poultry,Unknown,0.22837924407431134,0.3456131846825012,0.6862367661212705,1.0385027551287476
Fruits,Poultry,0.0032030749519538757,0.6666666666666666,0.004847309743092583,1.0088867345290031
Agrochemicals,Poultry,0.02242152466367713,0.6086956521739131,0.033931168201648085,0.9211574532656114
Fertilizer,Poultry,0.029788597053171044,0.5705521472392638,0.04507998061076103,0.8634337390600978
Other,Poultry,0.19378603459320948,0.5617455896007428,0.2932622394571013,0.8501065102925444
Poultry,Seeds,0.08840486867392697,0.1337857489093553,0.5257142857142857,0.7955792535142995
